"panstwo","rok","smiertelnosc_dzieci","emisja_co2","smierci_w_katastrofach","hdi","gdpPerCap","%pracownikow_w_przemysle","przewidywana_dlug_zycia","nowe_przyp_raka_pluc_M","nowe_przyp_raka_pluc_K","sustainable_development_indeks"
"Ukraine",2006,13.9,7.14,2,0.744,12300,25.6,68.4,57,7.14,77
"Ukraine",2008,12.9,7.06,43,0.755,13700,25.5,68.3,58.8,7.16,77
"Ukraine",2010,11.7,6.43,6,0.755,12200,25.6,70.8,50.5,6.71,77.8
"Ukraine",2012,10.6,6.69,195,0.764,13000,24.8,71.6,49.9,6.78,75.8
"Ukraine",2014,9.82,5.71,0,0.771,12400,24.7,71.7,45,6.66,75.6
"Ukraine",2016,9.22,5.24,40,0.768,11500,24.3,72.9,55.3,7.1,75.2
"Ukraine",2018,8.73,5.09,0,0.774,12300,24.9,73.9,56.9,7.33,75.3
"United Kingdom",1990,9.31,10.5,83,0.781,31200,30.4,75.8,79.4,29.4,67.6
"United Kingdom",1992,8.17,10.3,0,0.807,30800,29.4,76.3,75.1,29.7,67.2
"United Kingdom",1994,7.42,9.97,7,0.833,32600,27.4,76.7,71.2,30.2,66.6
"United Kingdom",1996,7.02,10.1,5,0.851,34100,26.9,77,68.1,30.6,63.1
"United Kingdom",1998,6.76,9.71,40,0.862,36700,25.8,77.5,64.4,30.9,53.3
"United Kingdom",2000,6.54,9.63,16,0.874,38900,24.6,78,59.9,31.3,45.6
"United Kingdom",2002,6.35,9.45,15,0.881,40200,23.3,78.5,57.8,31.7,46.1
"United Kingdom",2004,6.16,9.58,0,0.892,42000,22.2,79,55.5,32.5,39.1
"United Kingdom",2006,5.92,9.33,0,0.896,43600,22.2,79.5,54.5,33.3,33.6
"United Kingdom",2008,5.57,8.77,8,0.903,43800,19.6,80,53.6,34.8,35.6
"United Kingdom",2010,5.16,8.07,0,0.912,42100,19.2,80.6,51.1,34.4,41.8
"United Kingdom",2012,4.78,7.56,8,0.904,42800,18.9,80.9,48.3,34.7,40.2
"United Kingdom",2014,4.53,6.71,5,0.925,44200,18.7,81.1,47.4,34.8,40.5
"United Kingdom",2016,4.39,6.04,0,0.924,45700,18.3,81.1,47,34.8,39.3
"United Kingdom",2018,4.26,5.65,0,0.928,46900,18.1,81,47.1,34.7,38.9
"United States",1990,11.2,20.3,211,0.865,40400,26,75.7,85.8,38.9,37.9
"United States",1992,10.5,20.2,98,0.872,40700,25.7,76,83.8,40.5,36.1
"United States",1994,9.78,20.5,275,0.88,42400,25.5,76,84.6,42.8,32.1
"United States",1996,9.18,21,360,0.884,44100,25.1,76.4,82.1,44.1,28.3
"United States",1998,8.75,20.9,366,0.889,47000,24.7,76.9,78.7,44.6,22.4
"United States",2000,8.45,21.3,162,0.886,50100,23.7,77,76.7,45.6,20.4
"United States",2002,8.23,20.7,230,0.891,50500,22.5,77.2,73.9,45.8,20.3
"United States",2004,8.05,20.9,219,0.897,53000,22.3,77.7,68.5,44.9,18.4
"United States",2006,7.86,20.3,326,0.903,55400,22.1,78,65.9,43.9,17
"United States",2008,7.61,19.5,303,0.911,55300,20,78.4,63.7,43.6,18.6
"United States",2010,7.33,18.5,138,0.916,54300,19.7,78.9,60.6,42.2,20
"United States",2012,7.08,17.1,318,0.92,55600,20,79,58,41.3,19.8
"United States",2014,6.88,17.5,205,0.92,57200,19.9,79.1,54.7,39.8,18.4
"United States",2016,6.73,16.4,269,0.922,59100,19.7,78.9,52.8,38.3,18.2
"United States",2018,6.53,16.6,290,0.925,61600,19.9,79,53.4,37.9,18.1
"Uruguay",1990,22.9,1.28,0,0.694,11100,24.2,73.2,86.2,8.92,74.8
"Uruguay",1992,21.7,1.63,0,0.702,12200,24.1,73.5,83.6,9.15,75.3
"Uruguay",1994,20.9,1.26,0,0.711,13200,23.7,73.6,81.9,9.46,76
"Uruguay",1996,19.9,1.67,0,0.718,13600,23.7,73.9,78.3,9.51,75.8
"Uruguay",1998,18.3,1.72,1,0.737,15200,23.3,74.1,75.8,10,75.5
"Uruguay",2000,17,1.59,7,0.743,14500,22,74.8,72.7,10.2,75.9
"Uruguay",2002,16.1,1.37,2,0.749,12800,20.8,75,70.3,10.7,77.5
"Uruguay",2004,15.1,1.68,0,0.755,13600,21.1,75.2,67.5,11.3,75.6
"Uruguay",2006,13.5,1.99,0,0.763,15200,21.7,75.9,64.5,11.6,70.1
"Uruguay",2008,11.9,2.46,0,0.769,17300,21,76.2,64.2,13.1,63.9
"Uruguay",2010,10.7,1.88,4,0.782,19300,20.8,76.5,64.1,13.9,66
"Uruguay",2012,9.95,2.55,0,0.793,20900,21.6,76.5,63.1,14.8,60
"Uruguay",2014,9.24,1.96,0,0.803,22400,20.5,77.1,59.6,15.7,57.3
"Uruguay",2016,8.43,1.95,8,0.81,22700,19.7,77.3,57,16.3,53.9
"Uruguay",2018,7.58,2.01,0,0.816,23000,18.8,77.5,57.5,16,52.8
"Uzbekistan",1990,72.5,5.39,0,0.687621354345342,3640,25.7,69.3,31.3,8.23,56.7811298620944
"Uzbekistan",1992,72.2,5.2,10,0.696909343182114,3080,24.6,68.2,30.4,8.13,56.7976987492836
"Uzbekistan",1994,71.4,4.84,0,0.706197332018885,2730,23.8,66.2,31.8,8.1,56.8142676364728
"Uzbekistan",1996,69.7,4.57,0,0.715485320855656,2650,22.3,65.2,31.5,7.96,56.8308365236619
"Uzbekistan",1998,67.1,4.95,0,0.724773309692427,2810,21.8,65.4,27.8,7.67,56.8474054108511
"Uzbekistan",2000,62.9,4.91,0,0.599,2970,21.2,65.1,26.8,7.46,63.5
"Uzbekistan",2002,57.5,5.03,0,0.614,3140,21,65,25.5,7.1,65.1
"Uzbekistan",2004,52,4.82,0,0.626,3430,21.2,64.8,22.9,6.47,66.5
"Uzbekistan",2006,46.6,4.47,0,0.637,3850,21.8,65,22.3,6.4,67.6
"Uzbekistan",2008,41.4,4.47,0,0.653,4460,22.5,65.7,20.8,6.04,69.3
"Uzbekistan",2010,36.4,3.64,0,0.669,4950,22.8,66.5,19.6,5.81,71.1
"Uzbekistan",2012,31.9,3.91,0,0.685,5470,22.8,66.7,20.4,6.17,72.4
"Uzbekistan",2014,27.8,3.44,0,0.696,6080,23,67.2,20.9,6.43,73.7
"Uzbekistan",2016,24.2,2.9,0,0.705,6660,23.1,67.6,20.8,6.48,74.5
"Uzbekistan",2018,21.4,2.81,0,0.717,7080,23.1,68.1,20.8,6.69,75.7
"Vanuatu",1990,35.7,0.45,0,0.687621354345342,2860,0.283,63.1,31.9,7.26,56.7811298620944
"Vanuatu",1992,32.9,0.402,2,0.696909343182114,2850,0.298,63.1,33.2,7.78,56.7976987492836
"Vanuatu",1994,31.1,0.38,0,0.706197332018885,2970,0.316,63.2,34.3,8.28,56.8142676364728
"Vanuatu",1996,30,0.491,0,0.715485320855656,2930,0.322,63.3,34.4,8.38,56.8308365236619
"Vanuatu",1998,29.3,0.453,0,0.724773309692427,3000,0.356,63.5,34.6,8.5,56.8474054108511
"Vanuatu",2000,28.8,0.456,0,0.641181410161485,3070,0.409,63.6,34.4,8.33,56.8639742980402
"Vanuatu",2002,28.4,0.435,0,0.650469398998256,2680,0.474,63.6,33.6,7.87,56.8805431852294
"Vanuatu",2004,28.4,0.287,2,0.659757387835027,2760,0.643,63.7,33,7.54,56.8971120724186
"Vanuatu",2006,28.7,0.222,0,0.58,3000,1.33,63.9,34.6,8.09,62.5
"Vanuatu",2008,29,0.424,0,0.589,3110,7.03,64.1,36.3,8.66,63.4
"Vanuatu",2010,29.4,0.512,0,0.59,3090,6.92,64.4,37.3,8.97,63.4
"Vanuatu",2012,29.7,0.456,0,0.591,3050,8.5,64.7,38.2,9.4,63.7
"Vanuatu",2014,29.1,0.584,12,0.594,2990,10.9,64.8,38.3,9.63,63.8
"Vanuatu",2016,27.9,0.527,0,0.598,2970,12.7,65.1,38.1,9.75,64.3
"Vanuatu",2018,26.4,0.529,0,0.603,3090,14.1,65.3,38,9.96,64.7
"Venezuela",1990,29.6,6.21,0,0.644,15400,26,72.4,25.4,12.7,68.4
"Venezuela",1992,27.8,5.14,0,0.66,17300,26.3,72.9,26,12.8,69.6
"Venezuela",1994,26.7,6.04,44,0.662,16400,23.5,72.3,26.4,12.8,70.2
"Venezuela",1996,25.5,5.47,0,0.668,16500,23.9,73.3,24.5,12.6,70.5
"Venezuela",1998,23.5,7.17,0,0.672,17100,22.7,74,24.5,12.5,70.5
"Venezuela",2000,21.6,6.28,15,0.676,16300,22.1,74.2,24.8,12.7,71.1
"Venezuela",2002,20.3,7.69,4,0.692,14900,19.8,74,26.3,13.7,72.8
"Venezuela",2004,19.1,5.82,40,0.704,15900,20.6,74.6,26.9,12.9,74.2
"Venezuela",2006,17.9,6.32,0,0.731,18900,23.1,74.8,29.7,13.4,76.1
"Venezuela",2008,17.1,6.5,8,0.757,20900,22.4,74.4,31.8,14.3,76.5
"Venezuela",2010,17,6.67,49,0.757,19900,21.5,75.3,27.3,14.2,76.6
"Venezuela",2012,17.2,6.51,0,0.772,21600,21.3,75.2,27.2,14.4,78.2
"Venezuela",2014,17.3,6.13,0,0.775,23600,19.9,75.6,24,15.2,78.3
"Venezuela",2016,24.5,5.47,0,0.759,17700,17.8,75.6,23.9,15,76.2
"Venezuela",2018,24.5,4.81,2,0.733,12400,15.6,75.4,24.5,14.4,73.3
"Vietnam",1990,51.4,0.312,184,0.483,1670,10.1,69.2,40.4,7.47,52.1
"Vietnam",1992,46.4,0.301,287,0.504,1850,11.1,69.8,41.4,7.55,54.3
"Vietnam",1994,41.4,0.354,361,0.525,2090,11.8,70.5,41.4,7.99,56.6
"Vietnam",1996,36.9,0.448,1010,0.548,2430,12.7,71.1,41.2,8.5,59
"Vietnam",1998,33,0.596,413,0.567,2700,12,71.7,41.9,8.72,61.1
"Vietnam",2000,29.9,0.655,592,0.586,2960,13.9,72.2,42.2,9.02,63.1
"Vietnam",2002,27.5,0.843,147,0.602,3270,16.4,72.5,42.5,9.49,64.9
"Vietnam",2004,25.8,1.06,189,0.62,3690,18.7,72.7,42.4,10.1,66.8
"Vietnam",2006,24.5,1.17,579,0.632,4170,20.4,72.9,42.3,10.8,68.1
"Vietnam",2008,23.7,1.31,411,0.647,4630,21.8,73,42.6,11.3,69.4
"Vietnam",2010,23.1,1.55,221,0.661,5090,21.3,73.2,42.6,11.8,70.4
"Vietnam",2012,22.6,1.51,72,0.676,5570,21.2,73.5,43.4,12.1,71.9
"Vietnam",2014,22.1,1.75,38,0.683,6100,22.7,73.7,44,12.4,71.7
"Vietnam",2016,21.5,1.96,162,0.693,6770,25.8,74,44.3,12.7,71.9
"Vietnam",2018,20.7,2.16,134,0.7,7590,27.4,74.3,44.6,13.1,72.4
"Yemen",1990,126,0.814,0,0.401,4210,11.8,59.1,17.4,2.57,43.1
"Yemen",1992,119,0.763,0,0.404,4370,11.2,59.9,17.1,2.58,43.4
"Yemen",1994,114,0.629,0,0.408,4390,11.8,60.5,16.8,2.59,43.9
"Yemen",1996,109,0.681,345,0.421,4480,12.7,61.5,16.6,2.68,45.4
"Yemen",1998,103,0.734,70,0.431,4700,13.8,62.5,16.3,2.75,46.5
"Yemen",2000,94.9,0.832,0,0.444,4900,14.7,63.5,16.4,2.87,47.8
"Yemen",2002,85.6,0.844,53,0.461,4990,15.7,64.5,16.6,3.07,49.7
"Yemen",2004,76.7,0.955,0,0.477,5080,16.8,65.3,16.5,3.22,51.4
"Yemen",2006,68.4,1.02,30,0.488,5230,17.1,66.2,16.6,3.46,52.6
"Yemen",2008,61,1.01,90,0.495,5290,18.4,66.9,16.7,3.72,53.3
"Yemen",2010,56,1,22,0.506,5590,16.3,67.6,16.4,3.83,54.5
"Yemen",2012,55,0.747,0,0.504,4740,15.5,67.9,16.5,4.01,54.3
"Yemen",2014,55,0.937,0,0.502,4710,12.4,68.5,16.4,4.13,54.1
"Yemen",2016,55,0.377,40,0.474,2910,10.4,67.5,16.2,4.17,51.1
"Yemen",2018,55,0.356,49,0.468,2660,10.2,66.1,16.1,4.17,50.4
"Zambia",1990,186,0.3,0,0.421,2190,7.86,51.9,14.5,4.78,45.3
"Zambia",1992,187,0.287,0,0.416,2050,7.61,49.6,15.2,4.82,44.8
"Zambia",1994,184,0.27,0,0.414,1900,7.21,47.7,15.7,4.81,44.6
"Zambia",1996,178,0.197,0,0.416,1980,7.11,46.1,16.2,4.87,44.7
"Zambia",1998,173,0.231,0,0.416,1930,6.97,45.5,16.5,4.86,44.7
"Zambia",2000,162,0.172,0,0.425,1990,6.9,45.3,16.5,4.77,45.7
"Zambia",2002,142,0.179,0,0.441,2080,7.03,45.9,16.6,4.67,47.5
"Zambia",2004,119,0.182,2,0.46,2260,7.14,47.7,16.9,4.67,49.6
"Zambia",2006,101,0.183,0,0.482,2480,7.37,50,16.9,4.79,51.9
"Zambia",2008,90.4,0.164,4,0.503,2750,8.1,54.1,16.5,4.93,54.2
"Zambia",2010,80.3,0.189,9,0.527,3130,9.36,56.5,16.6,5.23,56.8
"Zambia",2012,74.3,0.241,0,0.549,3340,10.3,58.5,16.4,5.48,59.2
"Zambia",2014,66.9,0.277,0,0.561,3450,10.6,60.2,16,5.64,60.3
"Zambia",2016,62,0.296,0,0.571,3470,10.7,61.4,15.8,5.79,61.6
"Zambia",2018,57.8,0.302,0,0.582,3520,10.5,62.5,16,6.06,62.6
"Zimbabwe",1990,80.5,1.49,0,0.478,4170,12.6,62.4,19.9,7.38,51.5
"Zimbabwe",1992,88.2,1.55,0,0.467,3830,12.5,59.8,20,7.45,50.3
"Zimbabwe",1994,97.2,1.57,0,0.46,4090,12.4,56.2,20.3,7.29,49.5
"Zimbabwe",1996,104,1.29,0,0.453,4410,12.2,52.5,20.6,6.99,48.8
"Zimbabwe",1998,106,1.2,36,0.442,4580,11.8,49.7,20.4,7.64,47.6
"Zimbabwe",2000,105,1.16,70,0.43,4350,11.3,47.5,20.3,9.19,46.3
"Zimbabwe",2002,103,0.996,0,0.423,4000,10.5,46.6,20.8,10.3,45.5
"Zimbabwe",2004,102,0.785,0,0.411,3110,9.65,46.4,20.7,11.5,44.3
"Zimbabwe",2006,101,0.853,0,0.414,2800,9.21,47.4,20.2,11,44.6
"Zimbabwe",2008,97,0.624,0,0.422,2180,9.18,48.9,19.8,11.1,45.4
"Zimbabwe",2010,86.3,0.607,0,0.482,2850,9.09,52.3,19.3,10.8,51.9
"Zimbabwe",2012,69.8,0.587,0,0.525,3680,7.92,56,19,10.5,56.6
"Zimbabwe",2014,57.5,0.881,14,0.547,3700,7.21,58,19.1,10.8,58.9
"Zimbabwe",2016,50.4,0.771,31,0.558,3680,6.9,59.2,19.2,11,60.1
"Zimbabwe",2018,46.2,0.85,0,0.569,3920,6.58,60.6,19.3,11.1,61.3
