country,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,200,0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,0,0,10,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,20,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,1,0,3,1,0,1,0,4,3,1,0,0,0,1,0,0,0,0,0,0,0
Canada,,,,76,0,18,0,0,33,0,62,73,28,0,0,56,0,0,0,0,0,0,43,0,0,0,0,0,27,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0,83,3,0,0,0,6,0,0,33,0,0,26,0,0,0,0,10,31,0,0,0,14,0,0,0,0,0,0,0,0,0,12,0,27,2,1,8,0,0,0,0,2,10,5,31,7,11,11,0,7,0,4,1,6,0,2,0,8,0,14,0,0,0,2,70,2,1,815,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,20,0,30,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,2,0,0,0,0,0,45,16,0,5,1040,0,6,1,1,0,0,0,0,11,0,2,0,0,8,0,4,0,0,
Chile,,,,,,,20k,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,30k,0,0,0,12,0,0,2,0,100,41,0,0,0,15,0,0,0,0,0,0,6000,0,0,0,4,1080,4,0,0,0,0,85,0,0,32,0,0,15,4,30,0,0,0,4,127,180,39,164,0,21,0,141,0,115,0,33,0,44,0,0,16,6,19,0,3,61,18,18,9,0,562,1,8,0,18,204,12,42,0,8,0,0,
China,,,2500,0,0,0,280,12k,0,21,0,100k,50k,942,0,170,0,1800,10k,0,680k,0,100k,5000,100,5010,0,45.9k,3M,0,242,3.71M,0,28.2k,500,142k,145,390,0,500k,181,147,120,0,0,17,0,0,3040,57k,500,4800,54,0,32k,39,4000,560,0,2M,0,0,0,0,686,0,0,0,0,3000,10.1k,0,0,0,20k,22k,242k,0,0,42,6490,2470,551,921,144,1660,683,881,3970,3160,1320,4320,1450,1570,3200,2440,5610,1630,4500,1730,678,922,1430,1090,807,1020,2110,1160,88.5k,582,7190,746,802,1400,1580,500,1290,514,354,572,463,455,13
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,6,27,18,0,0,0,46,16,20,15,20,12,24,0,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,1750,0,2,0,0,2,0,0,6,0,0,0,0,24,3,30,0,20,0,2,0,8,9,0,13,0,25,0,0,4,0,3,0,54,0,0,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,154,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,23,0,9,0,39,0,0,0,0,2,0,62,240,29,0,14,4,32,36,0,54,0,1,0,165,55,50,279,51,80,83,32,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,6,0,0,0,0,0,19,0,0,0,0,0,0,0,20,24,
Colombia,,,,,,,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,100,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1000,211,0,0,0,187,0,0,0,111,184,0,0,182,0,0,32,0,81,0,0,407,251,70,225,401,0,60,0,0,701,40,225,120,411,0,21.8k,278,674,146,16,10,107,11,170,308,141,17,2,104,1280,115,99,135,115,116,180,150,218,153,53,624,313,77,7,88,104,10,384,26,84,66,42,
